"id","infrastructure_type","infrastructure_class","status","railway_service","railway_usage","country_relation","distance_to_country_m","province_codes","province_assignment_method","source_url","decision","reason"
"osm-way-1020580063","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580063","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580064","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580064","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580067","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580067","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580068","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580068","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580069","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580069","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580070","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580070","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580071","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580071","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580072","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580072","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580073","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580073","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580074","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580074","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580075","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580075","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580076","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580076","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580077","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580077","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580078","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580078","included","intersects_generalized_vietnam_boundary"
