"source_record_id","name_vi","category","province_code","source","source_url","retrieved_on","location_text","reported_longitude","reported_latitude","key","province_source_url","province_match_method","map_id","match_method","coordinate_available","legal_status","review_status","candidate_map_ids","candidate_match_method","latitude","longitude","coordinate_source_url","reported_coordinate_check"
"investvietnam-81","KCN Trảng Nhật","industrial_park","48","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/quang-nam---kcn-trang-nhat.html","2026-09-10",,,,"trang nhat","https://investvietnam.gov.vn/vi/kcn.pd/quang-nam---kcn-trang-nhat.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-84","KCN Đại Hiệp","industrial_park","48","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/quang-nam---kcn-dai-hiep.html","2026-09-10",,,,"dai hiep","https://investvietnam.gov.vn/vi/kcn.pd/quang-nam---kcn-dai-hiep.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-85","KCN Thuận Yên","industrial_park",,"Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/kcn-thuan-yen.html","2026-09-10","Gần quốc lộ 1A",,,"thuan yen",,"unknown",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-86","Khu kinh tế Dung Quất/ DungQuat Ecomic Zone Authority","unclassified",,"Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/khu-kinh-te-dung-quat-dungquat-ecomic-zone-authority.html","2026-09-10",,,,"khu kinh te dung quat",,"unknown",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-87","KCN Phổ Phong","industrial_park","51","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/kcn-pho-phong.html","2026-09-10","Khu công nghiệp Phổ Phong Phong nằm cách Quốc lộ 1A 8km, thuộc địa bàn huyện Đức Phổ tỉnh Quảng Ngãi, cách Cảng Dung Quất và sân bay Chu Lai khoảng hơn 70km. Là KCN tập trung quy mô vừa, đa ngành trong đó dự kiến bố trí các ngành công nghiệp ưu tiên sử dụng nguồn nguyên liệu địa phương như chế biến nông, lâm, thủy sản, mía đường, các ngành công nghiệp nhẹ, ít ô nhiễm môi trường...",,,"pho phong","https://investvietnam.gov.vn/vi/kcn.pd/kcn-pho-phong.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-89","KCN Hòa Hiệp 3","industrial_park","66","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/phu-yen---kcn-hoa-hiep-3.html","2026-09-10","Cách Quốc lộ 1A 4 km; gần các điểm nối giữa QL 1A và đường đi Tây nguyên",,,"hoa hiep 3","https://investvietnam.gov.vn/vi/kcn.pd/phu-yen---kcn-hoa-hiep-3.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-90","KCN Hòa Hiệp 2","industrial_park","66","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/kcn-hoa-hiep-2.html","2026-09-10","Cách Quốc lộ 1A 4 km; gần các điểm nối giữa QL 1A và đường đi Tây nguyên",,,"hoa hiep 2","https://kcn-kkt.com/kcn/kcn-hoa-hiep-2","unique_discovery_name_province_unverified",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-91","KCN Hòa Hiệp 1","industrial_park","66","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/kcn-hoa-hiep-1.html","2026-09-10","Cách Quốc lộ 1A 4 km; gần các điểm nối giữa QL 1A và đường đi Tây nguyên",,,"hoa hiep 1","https://kcn-kkt.com/kcn/kcn-hoa-hiep-1","unique_discovery_name_province_unverified",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-92","KCN Đông Bắc Sông Cầu 3","industrial_park","66","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/phu-yen---kcn-dong-bac-song-cau-3.html","2026-09-10",,,,"dong bac song cau 3","https://investvietnam.gov.vn/vi/kcn.pd/phu-yen---kcn-dong-bac-song-cau-3.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-93","KCN Đông Bắc Sông Cầu 2","industrial_park",,"Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/kcn-dong-bac-song-cau-2.html","2026-09-10",,,,"dong bac song cau 2",,"unknown",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
